PlayerID	PlayerName	Type	Reason	TeamAPI	Team	TeamID	FixtureID	FixtureDate
153434	W. Fish	Missing Fixture	Ankle Injury	Manchester United	Man United	33	1208021	2024-08-16T19:00:00+00:00
288006	R. Hojlund	Missing Fixture	Muscle Injury	Manchester United	Man United	33	1208021	2024-08-16T19:00:00+00:00
37145	T. Malacia	Missing Fixture	Knee Injury	Manchester United	Man United	33	1208021	2024-08-16T19:00:00+00:00
891	L. Shaw	Missing Fixture	Health problems	Manchester United	Man United	33	1208021	2024-08-16T19:00:00+00:00
342970	L. Yoro	Missing Fixture	Ankle Injury	Manchester United	Man United	33	1208021	2024-08-16T19:00:00+00:00
889	V. Lindelof	Questionable	Injury	Manchester United	Man United	33	1208021	2024-08-16T19:00:00+00:00
126791	N. Broadhead	Missing Fixture	Thigh Injury	Ipswich	Ipswich	57	1208022	2024-08-17T11:30:00+00:00
138836	H. Clarke	Missing Fixture	Achilles Tendon Injury	Ipswich	Ipswich	57	1208022	2024-08-17T11:30:00+00:00
20167	J. Donacien	Missing Fixture	Groin Injury	Ipswich	Ipswich	57	1208022	2024-08-17T11:30:00+00:00
8794	G. Hirst	Missing Fixture	Knee Injury	Ipswich	Ipswich	57	1208022	2024-08-17T11:30:00+00:00
326763	C. Humphreys	Questionable	Injury	Ipswich	Ipswich	57	1208022	2024-08-17T11:30:00+00:00
334729	B. Clark	Missing Fixture	Back Injury	Liverpool	Liverpool	40	1208022	2024-08-17T11:30:00+00:00
1117	K. Tierney	Missing Fixture	Muscle Injury	Arsenal	Arsenal	42	1208023	2024-08-17T14:00:00+00:00
2597	T. Tomiyasu	Missing Fixture	Knee Injury	Arsenal	Arsenal	42	1208023	2024-08-17T14:00:00+00:00
41725	F. Vieira	Questionable	Groin Injury	Arsenal	Arsenal	42	1208023	2024-08-17T14:00:00+00:00
380653	L. Chiwome	Missing Fixture	Ankle Injury	Wolves	Wolves	39	1208023	2024-08-17T14:00:00+00:00
385726	E. Gonzalez	Missing Fixture	Knee Injury	Wolves	Wolves	39	1208023	2024-08-17T14:00:00+00:00
7722	S. Kalajdzic	Missing Fixture	Knee Injury	Wolves	Wolves	39	1208023	2024-08-17T14:00:00+00:00
130	N. Semedo	Missing Fixture	Red Card	Wolves	Wolves	39	1208023	2024-08-17T14:00:00+00:00
330412	Chermiti	Missing Fixture	Ankle Injury	Everton	Everton	45	1208024	2024-08-17T14:00:00+00:00
18758	S. Coleman	Missing Fixture	Calf Injury	Everton	Everton	45	1208024	2024-08-17T14:00:00+00:00
895	J. Garner	Missing Fixture	Calf Injury	Everton	Everton	45	1208024	2024-08-17T14:00:00+00:00
138417	N. Patterson	Missing Fixture	Thigh Injury	Everton	Everton	45	1208024	2024-08-17T14:00:00+00:00
17661	J. Branthwaite	Questionable	Groin Injury	Everton	Everton	45	1208024	2024-08-17T14:00:00+00:00
70747	J. Enciso	Missing Fixture	Knee Injury	Brighton	Brighton	51	1208024	2024-08-17T14:00:00+00:00
18973	S. March	Missing Fixture	Knee Injury	Brighton	Brighton	51	1208024	2024-08-17T14:00:00+00:00
129058	B. Verbruggen	Missing Fixture	Injury	Brighton	Brighton	51	1208024	2024-08-17T14:00:00+00:00
46731	P. Estupinan	Questionable	Ankle Injury	Brighton	Brighton	51	1208024	2024-08-17T14:00:00+00:00
129643	E. Ferguson	Questionable	Ankle Injury	Brighton	Brighton	51	1208024	2024-08-17T14:00:00+00:00
138815	T. Lamptey	Questionable	Injury	Brighton	Brighton	51	1208024	2024-08-17T14:00:00+00:00
38734	S. Botman	Missing Fixture	Knee Injury	Newcastle	Newcastle	34	1208025	2024-08-17T14:00:00+00:00
18894	J. Lascelles	Missing Fixture	Knee Injury	Newcastle	Newcastle	34	1208025	2024-08-17T14:00:00+00:00
328105	L. Miley	Missing Fixture	Back Injury	Newcastle	Newcastle	34	1208025	2024-08-17T14:00:00+00:00
