TeamID	Team	PlayerID	PlayerName	Age	Number	Position
40	Liverpool	280	Alisson Becker	33.0	1	Goalkeeper
40	Liverpool	24760	G. Mamardashvili	25.0	25	Goalkeeper
40	Liverpool	415992	K. Miściur	18.0	74	Goalkeeper
40	Liverpool	342467	Á. Pécsi	20.0	1	Goalkeeper
40	Liverpool	18889	F. Woodman	28.0	28	Goalkeeper
40	Liverpool	180317	C. Bradley	22.0	12	Defender
40	Liverpool	284	J. Gomez	28.0	2	Defender
40	Liverpool	206254	M. Kerkez	22.0	6	Defender
40	Liverpool	1145	I. Konaté	26.0	5	Defender
40	Liverpool	409047	G. Leoni	19.0	15	Defender
40	Liverpool	328081	W. Omoruyi	19.0	3	Defender
40	Liverpool	380666	C. Pinnington	18.0	3	Defender
40	Liverpool	135525	C. Ramsay	22.0	47	Defender
40	Liverpool	289	A. Robertson	31.0	26	Defender
40	Liverpool	162904	R. Williams	24.0	46	Defender
40	Liverpool	290	V. van Dijk	34.0	4	Defender
40	Liverpool	8500	W. Endo	32.0	3	Midfielder
40	Liverpool	152654	J. Frimpong	25.0	30	Defender
40	Liverpool	542	R. Gravenberch	23.0	38	Midfielder
40	Liverpool	293	C. Jones	24.0	17	Midfielder
40	Liverpool	339205	M. Laffey	20.0	12	Midfielder
40	Liverpool	6716	A. Mac Allister	27.0	10	Midfielder
40	Liverpool	389032	K. Morrison	19.0	68	Midfielder
40	Liverpool	407032	A. Nallo	19.0	65	Defender
40	Liverpool	397997	T. Nyoni	18.0	42	Midfielder
40	Liverpool	301286	Tommy Pilling	21.0	10	Midfielder
40	Liverpool	1096	D. Szoboszlai	25.0	8	Defender
40	Liverpool	203224	F. Wirtz	22.0	7	Midfielder
40	Liverpool	30410	F. Chiesa	28.0	14	Attacker
40	Liverpool	314661	J. Danns	19.0	9	Attacker
40	Liverpool	174565	H. Ekitike	23.0	22	Attacker
40	Liverpool	344223	K. Figueroa	19.0	9	Attacker
40	Liverpool	247	C. Gakpo	26.0	18	Attacker
40	Liverpool	286764	Kaide Gordon	21.0	49	Attacker
40	Liverpool	2864	A. Isak	26.0	9	Attacker
40	Liverpool	452685	R. Ngumoha	17.0	73	Midfielder
40	Liverpool	306	Mohamed Salah	33.0	11	Attacker
42	Arsenal	2273	Kepa	31.0	13	Goalkeeper
42	Arsenal	416697	J. Porter	17.0	1	Goalkeeper
42	Arsenal	403221	K. Ranson	18.0	79	Goalkeeper
42	Arsenal	19465	David Raya	30.0	1	Goalkeeper
42	Arsenal	337933	Alexei Rojas Fedorushchenko	20.0	51	Goalkeeper
42	Arsenal	342243	T. Setford	19.0	35	Goalkeeper
42	Arsenal	157052	R. Calafiori	23.0	33	Defender
42	Arsenal	22224	Gabriel Magalhães	28.0	6	Defender
42	Arsenal	127817	P. Hincapié	23.0	5	Defender
42	Arsenal	313245	M. Lewis-Skelly	19.0	49	Defender
42	Arsenal	333682	Cristhian Mosquera	21.0	3	Defender
42	Arsenal	380696	Joshua Nichols	19.0	2	Defender
42	Arsenal	22090	W. Saliba	24.0	2	Defender
42	Arsenal	482903	M. Salmon	16.0	89	Defender
42	Arsenal	38746	J. Timber	24.0	12	Defender
42	Arsenal	19959	B. White	28.0	4	Defender
42	Arsenal	442044	M. Dowman	16.0	56	Midfielder
42	Arsenal	19586	E. Eze	27.0	10	Midfielder
42	Arsenal	553530	I. Ibrahim	17.0	6	Midfielder
42	Arsenal	47311	Mikel Merino	29.0	23	Midfielder
42	Arsenal	30407	C. Nørgaard	31.0	16	Midfielder
42	Arsenal	37127	M. Ødegaard	27.0	8	Midfielder
42	Arsenal	2937	D. Rice	26.0	41	Midfielder
42	Arsenal	47315	Martín Zubimendi	26.0	36	Midfielder
42	Arsenal	463908	B. Bailey-Joseph	17.0	7	Attacker
42	Arsenal	643	Gabriel Jesus	28.0	9	Attacker
42	Arsenal	18979	V. Gyökeres	27.0	14	Attacker
42	Arsenal	457731	A. Annous	18.0	11	Attacker
42	Arsenal	978	K. Havertz	26.0	29	Attacker
42	Arsenal	136723	N. Madueke	23.0	20	Midfielder
42	Arsenal	127769	Gabriel Martinelli	24.0	11	Attacker
42	Arsenal	557442	C. O'Neill	17.0	10	Attacker
42	Arsenal	1460	B. Saka	24.0	7	Midfielder
42	Arsenal	1946	L. Trossard	31.0	19	Midfielder
50	Man City	19012	M. Bettinelli	33.0	13	Goalkeeper
50	Man City	1622	G. Donnarumma	26.0	25	Goalkeeper
50	Man City	162489	J. Trafford	23.0	1	Goalkeeper
50	Man City	21138	R. Aït-Nouri	24.0	21	Defender
50	Man City	18861	N. Aké	30.0	6	Defender
50	Man City	293168	Max Alleyne	20.0	68	Defender
50	Man City	451583	K. Braithwaite	17.0	4	Defender
50	Man City	567	Rúben Dias	28.0	3	Defender
50	Man City	67971	M. Guéhi	25.0	15	Defender
50	Man City	129033	J. Gvardiol	23.0	24	Defender
50	Man City	360114	A. Khusanov	21.0	45	Defender
50	Man City	284230	R. Lewis	21.0	82	Defender
50	Man City	626	J. Stones	31.0	5	Defender
50	Man City	156477	R. Cherki	22.0	10	Midfielder
50	Man City	631	P. Foden	25.0	47	Midfielder
50	Man City	389034	Charlie Gray	19.0	8	Midfielder
50	Man City	2291	M. Kovačić	31.0	8	Midfielder
50	Man City	442048	R. McAidoo	17.0	7	Midfielder
50	Man City	161933	Nico González	23.0	14	Midfielder
50	Man City	41621	Matheus Nunes	27.0	27	Defender
50	Man City	323591	S. Nypan	19.0	10	Midfielder
50	Man City	307123	N. O&apos;Reilly	20.0	33	Midfielder
50	Man City	36902	T. Reijnders	27.0	4	Midfielder
