Rank	Club	Country	Level	Elo	From	To	HistTeam
	Wolves	ENG	1	1551.14025879	1946-07-07	1946-08-31	Wolverhampton Wanderers
	Wolves	ENG	1	1562.71057129	1946-09-01	1946-09-03	Wolverhampton Wanderers
	Wolves	ENG	1	1564.9954834	1946-09-04	1946-09-07	Wolverhampton Wanderers
	Wolves	ENG	1	1557.81469727	1946-09-08	1946-09-11	Wolverhampton Wanderers
	Wolves	ENG	1	1547.14086914	1946-09-12	1946-09-14	Wolverhampton Wanderers
	Wolves	ENG	1	1537.2355957	1946-09-15	1946-09-16	Wolverhampton Wanderers
	Wolves	ENG	1	1528.00646973	1946-09-17	1946-09-21	Wolverhampton Wanderers
	Wolves	ENG	1	1539.30773926	1946-09-22	1946-09-23	Wolverhampton Wanderers
	Wolves	ENG	1	1547.015625	1946-09-24	1946-09-28	Wolverhampton Wanderers
	Wolves	ENG	1	1554.09082031	1946-09-29	1946-09-29	Wolverhampton Wanderers
	Wolves	ENG	1	1571.09082031	1946-09-30	1946-10-03	Wolverhampton Wanderers
	Wolves	ENG	1	1577.09082031	1946-10-04	1946-10-05	Wolverhampton Wanderers
	Wolves	ENG	1	1591.1484375	1946-10-06	1946-10-12	Wolverhampton Wanderers
	Wolves	ENG	1	1600.31958008	1946-10-13	1946-10-19	Wolverhampton Wanderers
	Wolves	ENG	1	1604.55090332	1946-10-20	1946-10-26	Wolverhampton Wanderers
	Wolves	ENG	1	1621.48327637	1946-10-27	1946-11-02	Wolverhampton Wanderers
	Wolves	ENG	1	1606.81884766	1946-11-03	1946-11-09	Wolverhampton Wanderers
	Wolves	ENG	1	1622.89880371	1946-11-10	1946-11-16	Wolverhampton Wanderers
	Wolves	ENG	1	1645.4732666	1946-11-17	1946-11-23	Wolverhampton Wanderers
	Wolves	ENG	1	1646.42919922	1946-11-24	1946-11-30	Wolverhampton Wanderers
	Wolves	ENG	1	1655.30529785	1946-12-01	1946-12-07	Wolverhampton Wanderers
	Wolves	ENG	1	1675.58154297	1946-12-08	1946-12-14	Wolverhampton Wanderers
	Wolves	ENG	1	1683.69775391	1946-12-15	1946-12-21	Wolverhampton Wanderers
	Wolves	ENG	1	1691.04223633	1946-12-22	1946-12-25	Wolverhampton Wanderers
	Wolves	ENG	1	1698.51916504	1946-12-26	1946-12-26	Wolverhampton Wanderers
	Wolves	ENG	1	1701.73571777	1946-12-27	1946-12-28	Wolverhampton Wanderers
	Wolves	ENG	1	1700.70812988	1946-12-29	1947-01-04	Wolverhampton Wanderers
	Wolves	ENG	1	1705.64196777	1947-01-05	1947-01-18	Wolverhampton Wanderers
	Wolves	ENG	1	1688.34790039	1947-01-19	1947-02-22	Wolverhampton Wanderers
	Wolves	ENG	1	1694.14025879	1947-02-23	1947-03-01	Wolverhampton Wanderers
	Wolves	ENG	1	1701.83203125	1947-03-02	1947-03-08	Wolverhampton Wanderers
	Wolves	ENG	1	1702.7479248	1947-03-09	1947-03-15	Wolverhampton Wanderers
	Wolves	ENG	1	1705.86181641	1947-03-16	1947-03-22	Wolverhampton Wanderers
	Wolves	ENG	1	1695.74499512	1947-03-23	1947-03-29	Wolverhampton Wanderers
	Wolves	ENG	1	1701.92028809	1947-03-30	1947-04-05	Wolverhampton Wanderers
	Wolves	ENG	1	1692.62927246	1947-04-06	1947-04-07	Wolverhampton Wanderers
	Wolves	ENG	1	1684.69580078	1947-04-08	1947-04-08	Wolverhampton Wanderers
	Wolves	ENG	1	1692.02478027	1947-04-09	1947-04-13	Wolverhampton Wanderers
	Wolves	ENG	1	1682.02478027	1947-04-14	1947-04-19	Wolverhampton Wanderers
	Wolves	ENG	1	1694.14465332	1947-04-20	1947-04-26	Wolverhampton Wanderers
	Wolves	ENG	1	1698.20776367	1947-04-27	1947-05-03	Wolverhampton Wanderers
	Wolves	ENG	1	1698.27380371	1947-05-04	1947-05-04	Wolverhampton Wanderers
	Wolves	ENG	1	1702.27380371	1947-05-05	1947-05-10	Wolverhampton Wanderers
	Wolves	ENG	1	1689.53540039	1947-05-11	1947-05-17	Wolverhampton Wanderers
	Wolves	ENG	1	1683.56054688	1947-05-18	1947-05-20	Wolverhampton Wanderers
	Wolves	ENG	1	1670.56054688	1947-05-21	1947-05-26	Wolverhampton Wanderers
	Wolves	ENG	1	1694.45117188	1947-05-27	1947-05-31	Wolverhampton Wanderers
	Wolves	ENG	1	1684.19262695	1947-06-01	1947-08-23	Wolverhampton Wanderers
	Wolves	ENG	1	1674.10705566	1947-08-24	1947-08-27	Wolverhampton Wanderers
	Wolves	ENG	1	1681.82861328	1947-08-28	1947-08-30	Wolverhampton Wanderers
	Wolves	ENG	1	1687.26599121	1947-08-31	1947-09-03	Wolverhampton Wanderers
	Wolves	ENG	1	1700.17028809	1947-09-04	1947-09-06	Wolverhampton Wanderers
	Wolves	ENG	1	1700.71728516	1947-09-07	1947-09-10	Wolverhampton Wanderers
	Wolves	ENG	1	1682.06384277	1947-09-11	1947-09-13	Wolverhampton Wanderers
	Wolves	ENG	1	1685.22705078	1947-09-14	1947-09-20	Wolverhampton Wanderers
	Wolves	ENG	1	1692.0736084	1947-09-21	1947-09-27	Wolverhampton Wanderers
	Wolves	ENG	1	1698.70019531	1947-09-28	1947-10-04	Wolverhampton Wanderers
	Wolves	ENG	1	1698.52111816	1947-10-05	1947-10-11	Wolverhampton Wanderers
	Wolves	ENG	1	1680.78466797	1947-10-12	1947-10-18	Wolverhampton Wanderers
	Wolves	ENG	1	1678.06115723	1947-10-19	1947-10-19	Wolverhampton Wanderers
	Wolves	ENG	1	1706.06115723	1947-10-20	1947-10-25	Wolverhampton Wanderers
	Wolves	ENG	1	1707.3482666	1947-10-26	1947-11-01	Wolverhampton Wanderers
	Wolves	ENG	1	1685.94677734	1947-11-02	1947-11-08	Wolverhampton Wanderers
	Wolves	ENG	1	1669.7277832	1947-11-09	1947-11-15	Wolverhampton Wanderers
	Wolves	ENG	1	1675.31530762	1947-11-16	1947-11-22	Wolverhampton Wanderers
	Wolves	ENG	1	1694.48583984	1947-11-23	1947-11-29	Wolverhampton Wanderers
	Wolves	ENG	1	1682.25415039	1947-11-30	1947-12-06	Wolverhampton Wanderers
	Wolves	ENG	1	1673.56066895	1947-12-07	1947-12-13	Wolverhampton Wanderers
	Wolves	ENG	1	1662.6953125	1947-12-14	1947-12-20	Wolverhampton Wanderers
	Wolves	ENG	1	1666.3293457	1947-12-21	1947-12-26	Wolverhampton Wanderers
	Wolves	ENG	1	1675.99023438	1947-12-27	1947-12-27	Wolverhampton Wanderers
	Wolves	ENG	1	1683.58288574	1947-12-28	1948-01-01	Wolverhampton Wanderers
	Wolves	ENG	1	1695.86181641	1948-01-02	1948-01-03	Wolverhampton Wanderers
	Wolves	ENG	1	1686.22460938	1948-01-04	1948-01-17	Wolverhampton Wanderers
	Wolves	ENG	1	1682.41784668	1948-01-18	1948-02-07	Wolverhampton Wanderers
	Wolves	ENG	1	1685.8059082	1948-02-08	1948-02-14	Wolverhampton Wanderers
	Wolves	ENG	1	1684.37768555	1948-02-15	1948-02-21	Wolverhampton Wanderers
	Wolves	ENG	1	1666.86950684	1948-02-22	1948-02-28	Wolverhampton Wanderers
	Wolves	ENG	1	1671.64587402	1948-02-29	1948-03-06	Wolverhampton Wanderers
	Wolves	ENG	1	1664.76318359	1948-03-07	1948-03-13	Wolverhampton Wanderers
	Wolves	ENG	1	1661.58361816	1948-03-14	1948-03-20	Wolverhampton Wanderers
	Wolves	ENG	1	1657.93115234	1948-03-21	1948-03-26	Wolverhampton Wanderers
	Wolves	ENG	1	1650.1784668	1948-03-27	1948-03-27	Wolverhampton Wanderers
	Wolves	ENG	1	1647.47290039	1948-03-28	1948-03-29	Wolverhampton Wanderers
	Wolves	ENG	1	1651.01757812	1948-03-30	1948-04-03	Wolverhampton Wanderers
	Wolves	ENG	1	1643.51501465	1948-04-04	1948-04-10	Wolverhampton Wanderers
	Wolves	ENG	1	1650.40087891	1948-04-11	1948-04-11	Wolverhampton Wanderers
	Wolves	ENG	1	1673.40087891	1948-04-12	1948-04-14	Wolverhampton Wanderers
	Wolves	ENG	1	1682.59484863	1948-04-15	1948-04-17	Wolverhampton Wanderers
	Wolves	ENG	1	1691.72277832	1948-04-18	1948-04-24	Wolverhampton Wanderers
	Wolves	ENG	1	1695.67456055	1948-04-25	1948-05-01	Wolverhampton Wanderers
	Wolves	ENG	1	1689.75854492	1948-05-02	1948-05-17	Wolverhampton Wanderers
	Wolves	ENG	1	1716.75854492	1948-05-18	1948-08-21	Wolverhampton Wanderers
	Wolves	ENG	1	1711.70825195	1948-08-22	1948-08-25	Wolverhampton Wanderers
	Wolves	ENG	1	1700.53149414	1948-08-26	1948-08-28	Wolverhampton Wanderers
	Wolves	ENG	1	1719.56140137	1948-08-29	1948-09-01	Wolverhampton Wanderers
	Wolves	ENG	1	1720.05810547	1948-09-02	1948-09-04	Wolverhampton Wanderers
	Wolves	ENG	1	1717.88427734	1948-09-05	1948-09-08	Wolverhampton Wanderers
	Wolves	ENG	1	1725.00854492	1948-09-09	1948-09-11	Wolverhampton Wanderers
	Wolves	ENG	1	1737.84436035	1948-09-12	1948-09-15	Wolverhampton Wanderers
	Wolves	ENG	1	1731.3939209	1948-09-16	1948-09-18	Wolverhampton Wanderers
	Wolves	ENG	1	1729.1072998	1948-09-19	1948-09-25	Wolverhampton Wanderers
	Wolves	ENG	1	1722.43164062	1948-09-26	1948-10-02	Wolverhampton Wanderers
	Wolves	ENG	1	1725.39929199	1948-10-03	1948-10-09	Wolverhampton Wanderers
	Wolves	ENG	1	1702.5526123	1948-10-10	1948-10-10	Wolverhampton Wanderers
	Wolves	ENG	1	1715.5526123	1948-10-11	1948-10-16	Wolverhampton Wanderers
	Wolves	ENG	1	1704.74902344	1948-10-17	1948-10-23	Wolverhampton Wanderers
	Wolves	ENG	1	1717.22570801	1948-10-24	1948-10-30	Wolverhampton Wanderers
	Wolves	ENG	1	1718.62756348	1948-10-31	1948-11-06	Wolverhampton Wanderers
	Wolves	ENG	1	1725.26452637	1948-11-07	1948-11-11	Wolverhampton Wanderers
	Wolves	ENG	1	1729.26452637	1948-11-12	1948-11-13	Wolverhampton Wanderers
	Wolves	ENG	1	1723.70739746	1948-11-14	1948-11-20	Wolverhampton Wanderers
	Wolves	ENG	1	1730.60400391	1948-11-21	1948-11-27	Wolverhampton Wanderers
