Date,Time,HomeTeam,AwayTeam
2026-05-10,09:00,Burnley,Aston Villa
2026-05-10,09:00,Crystal Palace,Everton
2026-05-10,09:00,Nott'm Forest,Newcastle
2026-05-10,11:30,West Ham,Arsenal
2026-05-11,15:00,Tottenham,Leeds
2026-05-13,15:00,Man City,Crystal Palace
2026-05-15,15:00,Aston Villa,Liverpool
2026-05-17,07:30,Aston Villa,Liverpool
2026-05-17,10:00,Wolves,Fulham
2026-05-17,10:00,Leeds,Brighton
2026-05-17,12:30,Newcastle,West Ham
2026-05-17,10:00,Brentford,Crystal Palace
2026-05-17,07:30,Man United,Nott'm Forest
2026-05-17,10:00,Everton,Sunderland
2026-05-18,15:00,Arsenal,Burnley
2026-05-19,14:30,Bournemouth,Man City
2026-05-19,15:15,Chelsea,Tottenham
2026-05-24,11:00,Tottenham,Everton
2026-05-24,11:00,Brighton,Man United
2026-05-24,11:00,Burnley,Wolves
2026-05-24,11:00,Crystal Palace,Arsenal
2026-05-24,11:00,Fulham,Newcastle
2026-05-24,11:00,Liverpool,Brentford
2026-05-24,11:00,Man City,Aston Villa
2026-05-24,11:00,Nott'm Forest,Bournemouth
2026-05-24,11:00,Sunderland,Chelsea
2026-05-24,11:00,West Ham,Leeds
