Feature,Importance,Std
AvgCD,0.017886178861788605,0.01078577167595252
AwayPointsPerGame,0.013008130081300806,0.011028178834350035
PC>2.5,0.013008130081300796,0.006504065040650397
HomeCleanSheetPct_L10,0.013008130081300796,0.008291088639988257
AwayDefVsHomeAttack,0.013008130081300796,0.003982910150866951
MaxCA,0.011382113821138207,0.01417528111720544
Bet365_ExpectedTotalGoals,0.011382113821138195,0.009756097560975596
HomeXG_Understat_L5,0.011382113821138195,0.003982910150866951
Home_Poisson_1_Goal_Avg_L5,0.009756097560975596,0.010785771675952505
ImpliedProb_Draw_Norm,0.009756097560975596,0.006083995750851929
Home_Poisson_0_Goals_Avg_L5,0.009756097560975596,0.009481222593244378
BFEAHA,0.008130081300812997,0.005141914894582723
AvgAHA,0.008130081300812997,0.005141914894582723
MaxCH,0.006504065040650398,0.011948730452600854
B365CAHH,0.006504065040650398,0.003252032520325199
AwayRestDays,0.006504065040650398,0.006083995750851929
AwayTeamPointsLast5,0.006504065040650398,0.007965820301733902
AwayCleanSheetPct_L10,0.006504065040650398,0.006083995750851929
HomeManagerAttackingThreat,0.006504065040650398,0.003252032520325199
ManagerDefensiveAdvantage,0.004878048780487798,0.011028178834350014
PointsPerGameDiff,0.004878048780487798,0.008291088639988257
HomeTeamPointsLast5,0.004878048780487798,0.003982910150866951
Bet365_HomeVsAway_Ratio,0.004878048780487798,0.003982910150866951
AwayShootingEff_Avg_L5,0.004878048780487798,0.008291088639988257
HomeManagerDefensiveSolidity,0.004878048780487798,0.003982910150866951
VenueAdjustedFormDiff,0.004878048780487798,0.003982910150866951
AwayGoalDiff_Avg_L5,0.004878048780487798,0.003982910150866951
AvgCAHH,0.004878048780487798,0.003982910150866951
MaxCAHA,0.004878048780487798,0.003982910150866951
Pinnacle_AwayWinOdds,0.004878048780487798,0.003982910150866951
Temperature,0.004878048780487798,0.003982910150866951
BFEC>2.5,0.004878048780487798,0.003982910150866951
BFCD,0.003252032520325199,0.003982910150866951
Away_Poisson_2_3_Goals_Avg_L5,0.003252032520325199,0.003982910150866951
OddsMovement_Draw,0.003252032520325199,0.003982910150866951
AwayManagerGoalsPerGame,0.003252032520325199,0.003982910150866951
Away_Poisson_0_Goals_Avg_L5,0.003252032520325199,0.003982910150866951
Away_Poisson_xPTS_Avg_L5,0.003252032520325199,0.006504065040650398
BWCA,0.0016260162601625995,0.006083995750851929
1XBCH,0.0016260162601625995,0.0032520325203251993
B365C<2.5,0.0016260162601625995,0.0032520325203251993
PAHH,0.0016260162601625995,0.003252032520325199
BFED,0.0016260162601625995,0.0032520325203251993
AwayManagerTacticalFlexibility,0.0016260162601625995,0.006083995750851929
Home_Poisson_4Plus_Goals_Avg_L5,0.0016260162601625995,0.0032520325203251993
Bet365_OverUnder_Margin,0.0016260162601625995,0.0032520325203251993
HomeGoalDiffSeason,0.0016260162601625995,0.0032520325203251993
PC<2.5,0.0016260162601625995,0.0032520325203251993
BetWin_DrawOdds,0.0016260162601625995,0.006083995750851929
BMGMH,0.0,0.0
BFDA,0.0,0.0
BFCH,0.0,0.0
BFE<2.5,0.0,0.0
BFEA,0.0,0.0
1XBCA,0.0,0.0
BFCA,0.0,0.0
1XBCD,0.0,0.0
AHh,0.0,0.0
VCCH,0.0,0.0
MaxC<2.5,0.0,0.0
AHCh,0.0,0.0
VCCA,0.0,0.0
MaxCD,0.0,0.0
VCCD,0.0,0.0
WHCD,0.0,0.0
MaxC>2.5,0.0,0.007271765780487111
B365C>2.5,0.0,0.0
BFH,0.0,0.0
1XBA,0.0,0.0
BFD,0.0,0.0
WHCA,0.0,0.0
WHCH,0.0,0.0
IWCH,0.0,0.0
IWCD,0.0,0.0
IWCA,0.0,0.0
1XBD,0.0,0.0
1XBH,0.0,0.0
BFDH,0.0,0.0
BFDD,0.0,0.0
BMGMD,0.0,0.0
BFECH,0.0,0.0
BFECAHA,0.0,0.005141914894582723
BFEC<2.5,0.0,0.0
BWCD,0.0,0.0
Max_AwayWinOdds,0.0,0.0
Avg_HomeWinOdds,0.0,0.0
Avg_DrawOdds,0.0,0.0
Max<2.5,0.0,0.0
Max>2.5,0.0,0.0
VCBet_AwayWinOdds,0.0,0.0
Max_DrawOdds,0.0,0.0
Bet365_AH_AwayOdds,0.0,0.005141914894582723
BWCH,0.0,0.0
Avg>2.5,0.0,0.0
WilliamHill_HomeWinOdds,0.0,0.0
VCBet_HomeWinOdds,0.0,0.0
VCBet_DrawOdds,0.0,0.0
WilliamHill_DrawOdds,0.0,0.0
WilliamHill_AwayWinOdds,0.0,0.0
Avg_AwayWinOdds,0.0,0.0
Bet365_AwayWinOdds,0.0,0.0
Interwetten_AwayWinOdds,0.0,0.0
Interwetten_DrawOdds,0.0,0.0
Pinnacle_DrawOdds,0.0,0.0
Interwetten_HomeWinOdds,0.0,0.0
Bet365_DrawOdds,0.0,0.0
Bet365_HomeWinOdds,0.0,0.0
EloDiff,0.0,0.0
HomeXGA_Understat_L5,0.0,0.0
AwayTeamPointsLast5_AwayOnly,0.0,0.0
AwayManagerAttackingThreat,0.0,0.0
HomeTeamPointsLast5_HomeOnly,0.0,0.0
Bet365_Value_Away,0.0,0.005141914894582723
OddsMovement_Away,0.0,0.0
OddsMovement_Home,0.0,0.0
ImpliedProb_AwayWin,0.0,0.0
ImpliedProb_HomeWin_Norm,0.0,0.0
