feature,category,dtype,missing_rate,unique_values
Division,excluded,str,0.0,1
MatchDate,excluded,str,0.0,477
KickoffTime,excluded,str,0.0,23
HomeTeam,excluded,str,0.0,27
AwayTeam,excluded,str,0.0,27
FullTimeHomeGoals,excluded,int64,0.0,9
FullTimeAwayGoals,excluded,int64,0.0,8
FullTimeResult,excluded,str,0.0,3
HalfTimeHomeGoals,excluded,int64,0.0,6
HalfTimeAwayGoals,excluded,int64,0.0,6
HalfTimeResult,excluded,str,0.0,3
Referee,excluded,str,0.0,37
HomeShots,excluded,int64,0.0,36
AwayShots,excluded,int64,0.0,32
HomeShotsOnTarget,excluded,int64,0.0,17
AwayShotsOnTarget,excluded,int64,0.0,15
HomeFouls,excluded,int64,0.0,22
AwayFouls,excluded,int64,0.0,24
HomeCorners,excluded,int64,0.0,18
AwayCorners,excluded,int64,0.0,19
HomeYellowCards,excluded,int64,0.0,8
AwayYellowCards,excluded,int64,0.0,9
HomeRedCards,excluded,int64,0.0,3
AwayRedCards,excluded,int64,0.0,3
B365H,market,float64,0.0,105
B365D,market,float64,0.0,39
B365A,market,float64,0.0,105
BWH,market,float64,0.0910828025477707,141
BWD,market,float64,0.0910828025477707,46
BWA,market,float64,0.0910828025477707,148
IWH,market,float64,0.6318471337579618,107
IWD,market,float64,0.6318471337579618,48
IWA,market,float64,0.6318471337579618,112
PSH,market,float64,0.14012738853503184,460
PSD,market,float64,0.14012738853503184,365
PSA,market,float64,0.14012738853503184,643
WHH,market,float64,0.33184713375796177,107
WHD,market,float64,0.33184713375796177,36
WHA,market,float64,0.33184713375796177,103
VCH,market,float64,0.5159235668789809,104
VCD,market,float64,0.5159235668789809,39
VCA,market,float64,0.5159235668789809,102
MaxH,market,float64,0.0,348
MaxD,market,float64,0.0,228
MaxA,market,float64,0.0,387
AvgH,market,float64,0.0,470
AvgD,market,float64,0.0,361
AvgA,market,float64,0.0,669
B365>2.5,market,float64,0.0,63
B365<2.5,market,float64,0.0,65
P>2.5,market,float64,0.14777070063694267,117
P<2.5,market,float64,0.14777070063694267,187
Max>2.5,market,float64,0.0,123
Max<2.5,market,float64,0.0,178
Avg>2.5,market,float64,0.0,116
Avg<2.5,market,float64,0.0,207
AHh,market,float64,0.0006369426751592356,23
B365AHH,market,float64,0.0,40
B365AHA,market,float64,0.0,40
PAHH,market,float64,0.14012738853503184,44
PAHA,market,float64,0.14012738853503184,43
MaxAHH,market,float64,0.0,45
MaxAHA,market,float64,0.0,43
AvgAHH,market,float64,0.0,43
AvgAHA,market,float64,0.0,51
B365CH,market,float64,0.0,104
B365CD,market,float64,0.0,37
B365CA,market,float64,0.0,98
BWCH,market,float64,0.1,143
BWCD,market,float64,0.1,47
BWCA,market,float64,0.1,143
IWCH,market,float64,0.6318471337579618,106
IWCD,market,float64,0.6318471337579618,49
IWCA,market,float64,0.6318471337579618,111
PSCH,market,float64,0.14012738853503184,440
PSCD,market,float64,0.14012738853503184,328
PSCA,market,float64,0.14012738853503184,587
WHCH,market,float64,0.33184713375796177,104
WHCD,market,float64,0.33184713375796177,39
WHCA,market,float64,0.33184713375796177,101
VCCH,market,float64,0.5159235668789809,101
VCCD,market,float64,0.5159235668789809,41
VCCA,market,float64,0.5159235668789809,102
MaxCH,market,float64,0.0,398
MaxCD,market,float64,0.0,252
MaxCA,market,float64,0.0,462
AvgCH,market,float64,0.0,481
AvgCD,market,float64,0.0,372
AvgCA,market,float64,0.0,680
B365C>2.5,market,float64,0.0,67
B365C<2.5,market,float64,0.0,72
PC>2.5,market,float64,0.14713375796178343,126
PC<2.5,market,float64,0.14713375796178343,198
MaxC>2.5,market,float64,0.0,134
MaxC<2.5,market,float64,0.0,206
AvgC>2.5,market,float64,0.0,130
AvgC<2.5,market,float64,0.0,219
AHCh,market,float64,0.0,22
B365CAHH,market,float64,0.0,45
B365CAHA,market,float64,0.0,46
PCAHH,market,float64,0.14012738853503184,55
PCAHA,market,float64,0.14012738853503184,56
MaxCAHH,market,float64,0.0006369426751592356,54
MaxCAHA,market,float64,0.0006369426751592356,56
AvgCAHH,market,float64,0.0,45
AvgCAHA,market,float64,0.0,46
League,no_odds,str,0.0,1
BFH,market,float64,0.7585987261146497,84
BFD,market,float64,0.7585987261146497,31
BFA,market,float64,0.7585987261146497,86
1XBH,market,float64,0.7636942675159236,216
1XBD,market,float64,0.7636942675159236,153
1XBA,market,float64,0.7636942675159236,249
BFEH,market,float64,0.4968152866242038,199
BFED,market,float64,0.4968152866242038,61
BFEA,market,float64,0.4968152866242038,190
BFE>2.5,market,float64,0.49872611464968153,100
BFE<2.5,market,float64,0.49872611464968153,109
BFEAHH,market,float64,0.4968152866242038,48
BFEAHA,market,float64,0.4968152866242038,50
BFCH,market,float64,0.7579617834394905,87
BFCD,market,float64,0.7579617834394905,34
BFCA,market,float64,0.7579617834394905,87
1XBCH,market,float64,0.7579617834394905,238
1XBCD,market,float64,0.7579617834394905,163
1XBCA,market,float64,0.7579617834394905,266
BFECH,market,float64,0.4980891719745223,201
BFECD,market,float64,0.4980891719745223,61
BFECA,market,float64,0.4980891719745223,198
BFEC>2.5,market,float64,0.4980891719745223,103
BFEC<2.5,market,float64,0.4980891719745223,112
BFECAHH,market,float64,0.4980891719745223,45
BFECAHA,market,float64,0.4980891719745223,45
BFDH,market,float64,0.7267515923566878,67
BFDD,market,float64,0.7267515923566878,24
BFDA,market,float64,0.7267515923566878,65
BMGMH,market,float64,0.759235668789809,152
BMGMD,market,float64,0.759235668789809,50
BMGMA,market,float64,0.759235668789809,138
BVH,market,float64,0.7273885350318471,86
