Feature,Mean_SHAP
away_history_n,0.48969254
away_shots_for_ewm10,0.26257595
home_shots_for_ewm10,0.2484885
home_shots_against_ewm10,0.23432867
home_history_n,0.21716984
away_shots_against_ewm10,0.20254767
home_rest_days,0.19983727
away_shot_quality_ewm10,0.18826617
home_shot_quality_ewm10,0.14796071
away_goals_for_l5,0.14644909
away_rest_days,0.14054336
away_goal_diff_l10,0.13284402
home_goal_diff_l10,0.11732382
home_goals_for_l5,0.116157256
away_clean_sheet_l10,0.11019647
home_goals_against_l5,0.09719381
away_points_l5,0.06658987
home_points_l5,0.06261085
home_clean_sheet_l10,0.06148124
away_goals_against_l5,0.06026301
AxG,0.0
HxG,0.0
SKBH,0.0
PPA,0.0
PPD,0.0
PPH,0.0
PPCA,0.0
SKBCH,0.0
SKBCD,0.0
SKBCA,0.0
SKBD,0.0
SKBA,0.0
PPCH,0.0
PPCD,0.0
HomeTeamPointsLast5,0.0
AwayTeamPointsLast5,0.0
HomeRestDays,0.0
AwayRestDays,0.0
